"ID","AREA_calc","Total.N.19.11","PopDen1900","PopDen1910","PopDen1920","PopDen1930","PopDen1940","PopDen1950","PopDen1960","PopDen1970","PopDen1980","PopDen1990","PopDen2000","PopDenEst2007","Income1999","Dist2PortM","RdLengthKM","Forestland","HostSppCnt","TreeDen","ABL_pres","ALB_pres","AOW_pres","BBD_pres","BC_pres","BEBB_pres","BL_pres","BM_pres","BVW_pres","BWA_pres","CB_pres","CBT_pres","CDC_pres","CHS_pres","CS_pres","DED_pres","DWA_pres","EAB_pres","EFW_pres","EHS_pres","EL_pres","ELB_pres","ELC_pres","ELM_pres","EP_pres","EPLR_pres","EPNM_pres","EPS_pres","EPSM_pres","ESB_pres","ESGA_pres","ESN_pres","EWLS_pres","GM_pres","GSA_pres","HWA_pres","IBT_pres","IPS_pres","IWLB_pres","JB_pres","JCLB_pres","JS_pres","LC_pres","LS_pres","LW_pres","MAS_pres","MPB_pres","MPEB_pres","MW_pres","OS_pres","OW_pres","PFW_pres","PHM_pres","POCRD_pres","PRR_pres","PS_pres","PSB_pres","PT_pres","PWB_pres","RLP_pres","RPBB_pres","RPS_pres","SB_pres","SC_pres","SEEBB_pres","SM_pres","SOD_pres","SWW_pres","WM_pres","WPBR_pres","WS_pres","CRS_pres","EBB_pres","GOS_pres","CCS_pres","SBS_pres","SJS_pres","PTB_pres","X_coord","Y_coord"
4410,4382386496,26200116.23,-0.30323549737918,-0.298082154527229,-0.301042845043683,-0.296720472139094,-0.287820007082401,-0.292799217001573,-0.298329184098008,-0.298478771742573,-0.296330025439216,-0.292373100599202,-0.282845216225108,-0.281754458492784,-1.1301408428169,0.565212204848255,-0.462096734143872,0.412276606842083,-0.401930039837791,-0.0601502585651579,0,0,0,0,0,1,0,0,0.529678925,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.529678925,0,0,0.529678925,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-847832.0195,-182686.3649
4619,1207818848,7319765.462,-0.106847915828516,-0.0830276792495948,-0.0823253262967098,-0.0765881704683185,-0.0416999176692359,-0.0633420998952813,-0.0988948662636556,-0.101434953952037,-0.0498568947312792,-0.0343715514763853,0.00404596943444812,0.0236158902708483,-1.07769245998039,0.177583738574183,-0.582892538230557,-0.157545502124026,1.96198191877306,-0.0554986159894138,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0.626498427,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0.687896792,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1002167.981,-132686.3649
4577,10503697939,18935917.33,-0.322555445276365,-0.317062973553304,-0.316209675214455,-0.310591382126937,-0.306171600227727,-0.30611960920955,-0.280895728952133,-0.281993247482272,-0.258331593112285,-0.248333644458551,-0.225648839463663,-0.216559233928957,-0.305697976544354,0.0514069623811655,-0.206834593238542,0.32849123725679,-0.634259159602887,-0.105922719273254,0,0,0,0,0,1,0,0,0.403910957,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.403910957,0,0,0.403910957,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1097832.02,-132686.3649
4578,10503697939,18935917.33,-0.322555445276365,-0.317062973553304,-0.316209675214455,-0.310591382126937,-0.306171600227727,-0.30611960920955,-0.280895728952133,-0.281993247482272,-0.258331593112285,-0.248333644458551,-0.225648839463663,-0.216559233928957,-0.305697976544354,0.0514069623811655,-0.206834593238542,0.32849123725679,-0.634259159602887,-0.105922719273254,0,0,0,0,0,1,0,0,0.403910957,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.403910957,0,0,0.403910957,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1047832.02,-132686.3649
4407,12476685558,43592494.33,-0.320856584862867,-0.316556214377955,-0.315266623637445,-0.311691307858387,-0.308138330925882,-0.30835120840733,-0.294094800347378,-0.293995405250686,-0.27823082572391,-0.270084625212097,-0.253178286573353,-0.246990688921561,-0.428541892331269,0.166968239784139,-0.103817049278394,1.05066959940191,-0.612162331538472,-0.0812413464974023,0,0,0,0,0,1,0,0,0.21049095,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.21049095,0,0,0.21049095,0,0,0,0,0,1,0,0,0,0,0.406303048,0,0,0,0,0,0,1,0,-997832.0195,-182686.3649
5243,10413887462,4020632.89,-0.27282974057894,-0.237745190106593,-0.196419303588291,-0.15821477599756,-0.120113716640699,0.0025498796607001,0.239852432968784,0.489288234763135,0.678253797404137,0.888870320300067,1.0762679153948,1.18016839850257,0.295419294990775,-1.08754007318456,1.03849847643416,0.173528570043675,-0.450430067010738,-0.149534088470076,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.184998998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.747429094,0,1,0,0,0,0,1,1,0,1,0,1,0.562430096,0,0,0,1,1,0.121538826,0,0,0.86896792,0,0.747429094,0,1,0.86896792,0,1,1,-2197832.02,67313.6351
4800,1995451930,16782500.84,-0.103494668267626,-0.097543810760421,-0.0790517232177968,-0.0834151205095195,-0.0734712261769394,-0.063122448525428,-0.0648415429978936,-0.051832487533957,-0.00373685263107372,0.00778369142819491,0.0658310034100146,0.0859571488141821,0.595104998184068,-0.539080045838914,-0.164386839629804,0.102958735141546,1.09077029382151,-0.0175683463740689,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0.830671506,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.756682571,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1452167.981,-82686.3649
4740,30344573458,17658862.12,-0.328479502122493,-0.328186532630017,-0.327119051716601,-0.326788091571512,-0.325127043825867,-0.324960797978769,-0.325075851619507,-0.317738418721086,-0.30327349266882,-0.282757478825664,-0.247497007778251,-0.219043972968926,-0.161906218696267,-1.01180316370711,-0.815020592830736,0.104650766710554,-0.777457609631248,-0.146126438259361,0,0,0,0,0,1,0,0,0.151404977,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.848595023,0.151404977,0,0.151404977,0,0.848595023,0,0,0,0,1,0,0,0,0,0,0,0.848595023,0,0,0,0,1,0.151404977,-1547832.02,-82686.3649
4741,26284424955,19188602.8,-0.328549049994066,-0.328359290727797,-0.327401078608525,-0.327088671830098,-0.325679081568489,-0.32561810361901,-0.325609552692565,-0.319841286192158,-0.307902147087787,-0.2912753500561,-0.262995775487412,-0.240238612097744,-0.240033133021946,-0.921369889182767,-0.854690731729727,0.342505542709971,-0.753209291954611,-0.140449706545059,0,0,0,0,0,1,0,0,0.325148638,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.674851362,0.325148638,0,0.325148638,0,0.674851362,0,0,0,0,1,0,0,0,0,0,0,0.674851362,0,0,0,0,1,0.325148638,-1497832.02,-82686.3649
4440,913977604.8,4238423.141,-0.051891725616201,-0.0404035369412601,-0.0521658174236208,-0.0559933582576497,-0.0397889407812831,-0.0637562305400659,-0.0518729273821896,-0.0410919074551045,-0.00876473154259908,-0.00357760543765696,0.01918997590963,0.0200418690055236,0.089527462469633,-0.148543340798499,-0.37244073660972,-0.525537509593078,1.93325858785485,-0.0743953180454257,0,0,1,0,0,0.339994687,0,0,1,0,0.198939331,0,0,0,1,1,0.199541518,0,0,0,1,0,0,1,0,0,0,0,0.339994687,0,1,0,0,0,0,0,0.339994687,1,0.339994687,0.660005313,0,0.660005313,0,0,0,0.339994687,1,0,1,1,0.933282353,0,0,0,0.660005313,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.198939331,0,0,0,0,0,0,1,0,652167.9805,-182686.3649
