"ID","FIA_0010","FIA_0011","FIA_0012","FIA_0015","FIA_0016","FIA_0017","FIA_0018","FIA_0019","FIA_0020","FIA_0021","FIA_0022","FIA_0041","FIA_0042","FIA_0043","FIA_0051","FIA_0057","FIA_0059","FIA_0061","FIA_0062","FIA_0063","FIA_0064","FIA_0065","FIA_0066","FIA_0067","FIA_0068","FIA_0069","FIA_0070","FIA_0071","FIA_0072","FIA_0073","FIA_0081","FIA_0091","FIA_0093","FIA_0094","FIA_0095","FIA_0096","FIA_0097","FIA_0098","FIA_0101","FIA_0102","FIA_0103","FIA_0105","FIA_0106","FIA_0107","FIA_0108","FIA_0109","FIA_0110","FIA_0111","FIA_0112","FIA_0113","FIA_0114","FIA_0115","FIA_0116","FIA_0117","FIA_0118","FIA_0119","FIA_0120","FIA_0121","FIA_0122","FIA_0123","FIA_0124","FIA_0125","FIA_0126","FIA_0127","FIA_0128","FIA_0129","FIA_0130","FIA_0131","FIA_0132","FIA_0133","FIA_0134","FIA_0135","FIA_0136","FIA_0140","FIA_0142","FIA_0143","FIA_0201","FIA_0202","FIA_0211","FIA_0212","FIA_0221","FIA_0222","FIA_0230","FIA_0241","FIA_0242","FIA_0250","FIA_0260","FIA_0261","FIA_0262","FIA_0263","FIA_0264","FIA_0310","FIA_0311","FIA_0312","FIA_0313","FIA_0314","FIA_0315","FIA_0316","FIA_0317","FIA_0318","FIA_0319","FIA_0320","FIA_0321","FIA_0322","FIA_0323","FIA_0330","FIA_0331","FIA_0332","FIA_0334","FIA_0341","FIA_0345","FIA_0351","FIA_0352","FIA_0355","FIA_0356","FIA_0361","FIA_0367","FIA_0370","FIA_0371","FIA_0372","FIA_0373","FIA_0374","FIA_0375","FIA_0378","FIA_0379","FIA_0381","FIA_0391","FIA_0400","FIA_0401","FIA_0402","FIA_0403","FIA_0404","FIA_0405","FIA_0406","FIA_0407","FIA_0408","FIA_0409","FIA_0410","FIA_0421","FIA_0422","FIA_0431","FIA_0450","FIA_0451","FIA_0452","FIA_0460","FIA_0461","FIA_0462","FIA_0463","FIA_0471","FIA_0475","FIA_0481","FIA_0491","FIA_0492","FIA_0500","FIA_0501","FIA_0502","FIA_0510","FIA_0521","FIA_0531","FIA_0540","FIA_0541","FIA_0542","FIA_0543","FIA_0544","FIA_0545","FIA_0546","FIA_0547","FIA_0548","FIA_0551","FIA_0552","FIA_0555","FIA_0571","FIA_0580","FIA_0591","FIA_0600","FIA_0601","FIA_0602","FIA_0611","yFIA_0621","FIA_0631","FIA_0641","FIA_0650","FIA_0651","FIA_0652","FIA_0653","FIA_0654","FIA_0655","FIA_0660","FIA_0680","FIA_0681","FIA_0682","FIA_0691","FIA_0692","FIA_0693","FIA_0694","FIA_0701","FIA_0711","FIA_0712","FIA_0721","FIA_0722","FIA_0730","FIA_0729","FIA_0740","FIA_0741","FIA_0742","FIA_0743","FIA_0744","FIA_0745","FIA_0746","FIA_0747","FIA_0748","FIA_074x","FIA_0749","FIA_0752","FIA_0755","FIA_0756","FIA_0757","FIA_0758","FIA_0760","FIA_0761","FIA_0762","FIA_0763","FIA_0766","FIA_0800","FIA_0801","FIA_0802","FIA_0803","FIA_0804","FIA_0805","FIA_0806","FIA_0807","FIA_0808","FIA_0809","FIA_0810","FIA_0811","FIA_0812","FIA_0813","FIA_0814","FIA_0815","FIA_0816","FIA_0817","FIA_0818","FIA_0819","FIA_0820","FIA_0821","FIA_0822","FIA_0823","FIA_0824","FIA_0825","FIA_0826","FIA_0827","FIA_0828","FIA_0829","FIA_0830","FIA_0831","FIA_0832","FIA_0833","FIA_0834","FIA_0835","FIA_0836","FIA_0837","FIA_0838","FIA_0839","FIA_0840","FIA_0841","FIA_0842","FIA_0843","FIA_0844","FIA_0850","FIA_0901","FIA_0902","FIA_0919","FIA_0920","FIA_0921","FIA_0922","FIA_0927","FIA_0931","FIA_0935","FIA_0950","FIA_0951","FIA_0952","FIA_0953","FIA_0970","FIA_0971","FIA_0972","FIA_0973","FIA_0974","FIA_0975","FIA_0976","FIA_0977","FIA_0981","FIA_0989","FIA_0992","FIA_0993","FIA_0994","FIA_0995","FIA_0996","FIA_0997"
8556,0,0,403957.36502708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847.867220119892,1076427.76682928,0,0,0,0,0,159223.984347614,513904.367825262,0,0,0,0,0,0,462064.538987039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291320.132642774,0,0,0,207733.498157373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043527.27768114,0,0,0,0,0,0,0,0,0,0,67386.0823423525,0,0,65743.7154108569,3785.52763957929,356481.742817724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504815.151901895,0,0,0,3121.83905939458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713887.020719284,182286.272133139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6876.77383122683,0,0,0,0,0,0,1406.29282659809,778125.498108962,13304.5183573048,102659.276403386,0,0,2903643.31937542,0,0,0,0,0,0,0,0,0,0,1894.79748592348,2027.24621326199,0,0,0,1287.89803083456,0,0,0,0,0,0,1190.85130576384,0,0,0,0,0,0,0,0,0,0,0,0,0,707440.246577835,0,0,0,0,0,0,0,181830.319202453,0,157248.440520672,63160.7055415201,129294.967812369,0,82868.4445894,0,0,0,0,0,0,0,0,0,0,0,3104.77910483201,0,272.446163366021,0,7234.63333955352,0,0,104197.059964706,0,0,0,30469.1222357735,125628.054180741,1615.1616937654,0,57045.5953121828,0,1897.58989292466,0,0,0,2584.97726892584,0,0,0,0,973.369954662933
8557,0,0,1355706.73096618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092.33081259622,2597895.35013677,0,0,0,0,0,511162.674365767,2348080.91657849,0,0,0,0,0,0,747218.651880345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822318.286651099,0,0,0,282524.566319226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4354453.7057914,0,0,0,0,0,0,0,0,0,0,38957.7450871386,0,0,156608.021902786,23145.8432850268,387031.615291692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973093.231758499,0,0,0,4021.95168727115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116059.35851377,247941.404720207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10784.9330060545,0,0,0,0,0,0,0,1650066.88123801,0,129956.601386944,0,0,6197643.19764726,0,0,0,0,0,0,0,0,0,0,0,2518.29121138645,0,0,0,1400.06279318192,0,0,0,0,0,0,635.503145261759,0,0,0,0,0,0,0,0,0,0,0,0,0,604133.127921866,0,0,0,0,0,0,0,160629.513703429,0,199524.608136337,20506.5779782315,58527.4010123702,0,40106.5630563604,0,0,0,0,0,0,0,0,0,0,0,9340.3447586519,0,350.999934843861,0,11425.7361034891,0,0,140915.637779889,0,0,0,63052.2212010064,196976.573563882,1009.22701395763,0,65322.5066304585,0,2444.71759318595,0,0,0,0,0,0,0,0,0
8728,0,0,488361.810080124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046.09659718364,1368239.932531,0,0,0,0,0,188785.355423197,658604.79113704,0,0,0,0,0,0,632850.539435196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406163.729647416,0,0,0,213032.276884689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260181.2558031,0,0,0,0,0,0,0,0,0,0,56781.496546168,0,0,61382.742762716,3883.4340635841,333661.414699387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537899.690463933,0,0,0,3851.71774482077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852948.06879525,185291.606179543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6791.06509787346,0,0,0,0,0,0,1735.08080703958,1003391.73765932,11105.1331067316,100318.974691866,0,0,3579569.06565806,0,0,0,0,0,0,0,0,0,0,0,2411.70150706225,0,0,0,1340.80345157527,0,0,0,0,0,0,608.604710305438,0,0,0,0,0,0,0,0,0,0,0,0,0,651735.148281356,0,0,0,0,0,0,0,59867.1316735683,0,191079.489124487,0,46429.5312953456,0,39446.3310576006,0,0,0,0,0,0,0,0,0,0,0,5353.1426599418,0,336.143440446526,0,3255.13466749951,0,0,128558.089378907,0,0,0,0,137216.136939364,966.510266773134,0,62557.6529725596,0,2341.24198074063,397.339696212237,0,0,3189.33892082536,0,0,0,0,1258.29458629841
8729,0,0,1698244.11997215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3003225.11620769,0,0,0,0,0,578742.908511234,3409045.31039037,0,0,0,0,0,0,687779.653967011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837502.419260509,0,0,0,100230.079539944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5367076.20261707,0,0,0,0,0,0,0,0,0,0,42106.4882434232,0,0,149842.505501665,30921.3769541764,63462.2451586547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865161.619383342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250046.13520894,160005.027711621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6865.40901738805,0,0,0,0,0,0,0,1663725.67432584,0,50059.3277350692,0,0,6038654.88034819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125697.333400077,0,0,0,0,0,0,0,260172.053213657,0,0,33214.5592299615,94796.9880476726,0,0,0,0,0,0,0,0,0,0,0,0,0,15128.5814017254,0,0,0,18506.2953437723,0,0,10812.6180036965,0,0,0,102125.851416291,106706.894421002,1634.64769534716,0,3029.95057368765,0,0,0,0,0,0,0,0,0,0,0
8900,0,0,438433.091666755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1571259.84930107,0,0,0,0,0,94037.4552275464,992911.140871031,0,0,0,0,0,0,780039.264243095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274134.562268714,0,0,0,4162.35494000948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634302.437736189,0,0,0,0,0,0,0,0,0,0,28865.7842173627,0,0,0,0,1286.89049507074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283036.623724015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375577.075036522,70091.4157441646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818364.181472867,0,1530.36250024831,0,0,2127762.74980247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167538.280357251,0,0,0,0,0,0,0,134758.286936018,0,0,0,90369.9877919177,0,2498.01793198325,0,0,0,0,0,0,0,0,0,0,0,12891.0676668722,0,0,0,0,0,0,0,0,0,0,0,28100.2496394152,2327.48313302651,0,4314.17661079825,0,0,956.845956849969,0,0,0,0,0,0,0,3030.13793714366
8901,0,0,690042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696424,0,0,0,0,0,74211,1801074,0,0,0,0,0,0,1155054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122262,0,0,0,8061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432260.363,26346.25471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955194,0,1615,0,0,2376937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21497,0,0,0,0,0,0,0,250268.9005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11760.20985,0,0,0,0,0,0,0,0,0,0,0,54420.18175,4507.506401,0,8355.024538,0,0,0,0,0,0,0,0,0,0,0
9072,0,0,690042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696424,0,0,0,0,0,74211,1801074,0,0,0,0,0,0,1155054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122262,0,0,0,8061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432260.363,26346.25471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955194,0,1615,0,0,2376937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21497,0,0,0,0,0,0,0,250268.9005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11760.20985,0,0,0,0,0,0,0,0,0,0,0,54420.18175,4507.506401,0,8355.024538,0,0,0,0,0,0,0,0,0,0,0
9073,0,0,690042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696424,0,0,0,0,0,74211,1801074,0,0,0,0,0,0,1155054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122262,0,0,0,8061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432260.363,26346.25471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955194,0,1615,0,0,2376937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21497,0,0,0,0,0,0,0,250268.9005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11760.20985,0,0,0,0,0,0,0,0,0,0,0,54420.18175,4507.506401,0,8355.024538,0,0,0,0,0,0,0,0,0,0,0
9037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
